horizon,threshold,model,net_benefit
5yr,0.1,Treat all,0.02284475571118892
5yr,0.1,Treat none,0.0
5yr,0.1,Baseline,0.011116669445834027
5yr,0.1,Updated,0.048024012006002995
5yr,0.10500000000000001,Treat all,0.01738578786600002
5yr,0.10500000000000001,Treat none,0.0
5yr,0.10500000000000001,Baseline,0.010052512289664386
5yr,0.10500000000000001,Updated,0.046173924951302465
5yr,0.11,Treat all,0.011865483303449484
5yr,0.11,Treat none,0.0
5yr,0.11,Baseline,0.009572201831252704
5yr,0.11,Updated,0.04357796875966073
5yr,0.115,Treat all,0.006282802418158234
5yr,0.115,Treat none,0.0
5yr,0.115,Baseline,0.006480641450668837
5yr,0.115,Updated,0.04120421792817313
5yr,0.12000000000000001,Treat all,0.0006366819773522964
5yr,0.12000000000000001,Treat none,0.0
5yr,0.12000000000000001,Baseline,0.006958024466778844
5yr,0.12000000000000001,Updated,0.039565237164036565
5yr,0.125,Treat all,-0.005073965554205667
5yr,0.125,Treat none,0.0
5yr,0.125,Baseline,0.00621739441149146
5yr,0.125,Updated,0.036875580647466585
5yr,0.13,Treat all,-0.01085025271256318
5yr,0.13,Treat none,0.0
5yr,0.13,Baseline,0.005594751398687849
5yr,0.13,Updated,0.03605825901456476
5yr,0.135,Treat all,-0.0166933177571445
5yr,0.135,Treat none,0.0
5yr,0.135,Baseline,0.005022742585165415
5yr,0.135,Updated,0.03459822396747506
5yr,0.14,Treat all,-0.022604325418523225
5yr,0.14,Treat none,0.0
5yr,0.14,Baseline,0.004839629116884023
5yr,0.14,Updated,0.03228358365229126
5yr,0.14500000000000002,Treat all,-0.02858446767243275
5yr,0.14500000000000002,Treat none,0.0
5yr,0.14500000000000002,Baseline,0.005365255727278844
5yr,0.14500000000000002,Updated,0.03102428407186049
5yr,0.15,Treat all,-0.034634964541094104
5yr,0.15,Treat none,0.0
5yr,0.15,Baseline,0.004914221816790748
5yr,0.15,Updated,0.030868375364152666
5yr,0.155,Treat all,-0.04075706492299408
5yr,0.155,Treat none,0.0
5yr,0.155,Baseline,0.00465913430087825
5yr,0.155,Updated,0.028632659525028786
5yr,0.16,Treat all,-0.046952047452297585
5yr,0.16,Treat none,0.0
5yr,0.16,Baseline,0.004335501083875271
5yr,0.16,Updated,0.028585721432144644
5yr,0.165,Treat all,-0.05322122138913768
5yr,0.165,Treat none,0.0
5yr,0.165,Baseline,0.004631058043992055
5yr,0.165,Updated,0.02694161451983476
5yr,0.17,Treat all,-0.05956592754208431
5yr,0.17,Treat none,0.0
5yr,0.17,Baseline,0.004249112508061259
5yr,0.17,Updated,0.02457855433740967
5yr,0.17500000000000002,Treat all,-0.06598753922415757
5yr,0.17500000000000002,Treat none,0.0
5yr,0.17500000000000002,Baseline,0.004487092030863916
5yr,0.17500000000000002,Updated,0.022814437521791193
5yr,0.18000000000000002,Treat all,-0.07248746324381708
5yr,0.18000000000000002,Treat none,0.0
5yr,0.18000000000000002,Baseline,0.004746275576812797
5yr,0.18000000000000002,Updated,0.022047609170438878
5yr,0.185,Treat all,-0.07906714093242942
5yr,0.185,Treat none,0.0
5yr,0.185,Baseline,0.004913499694632593
5yr,0.185,Updated,0.020086730481805315
5yr,0.19,Treat all,-0.08572804920979007
5yr,0.19,Treat none,0.0
5yr,0.19,Baseline,0.00447754741568315
5yr,0.19,Updated,0.01914537515671416
5yr,0.195,Treat all,-0.09247170168935404
5yr,0.195,Treat none,0.0
5yr,0.195,Baseline,0.003427179428223428
5yr,0.195,Updated,0.016905968512206406
5yr,0.2,Treat all,-0.09929964982491246
5yr,0.2,Treat none,0.0
5yr,0.2,Baseline,0.0036268134067033516
5yr,0.2,Updated,0.01750875437718859
5yr,0.20500000000000002,Treat all,-0.10621348410054088
5yr,0.20500000000000002,Treat none,0.0
5yr,0.20500000000000002,Baseline,0.0020828024074930544
5yr,0.20500000000000002,Updated,0.01707457502336073
5yr,0.21000000000000002,Treat all,-0.11321483526573417
5yr,0.21000000000000002,Treat none,0.0
5yr,0.21000000000000002,Baseline,0.002038994180634621
5yr,0.21000000000000002,Updated,0.01641326992610229
5yr,0.215,Treat all,-0.12030537561774518
5yr,0.215,Treat none,0.0
5yr,0.215,Baseline,0.002268650248691225
5yr,0.215,Updated,0.016823698473440545
5yr,0.22,Treat all,-0.12748682033324352
5yr,0.22,Treat none,0.0
5yr,0.22,Baseline,0.00237298136247611
5yr,0.22,Updated,0.015789946255178874
5yr,0.225,Treat all,-0.13476092885152252
5yr,0.225,Treat none,0.0
5yr,0.225,Baseline,0.0026303474317804065
5yr,0.225,Updated,0.014813858542174312
5yr,0.23,Treat all,-0.14212950631159738
5yr,0.23,Treat none,0.0
5yr,0.23,Baseline,0.0027546240652793932
5yr,0.23,Updated,0.014247383431975732
5yr,0.23500000000000001,Treat all,-0.14959440504566007
5yr,0.23500000000000001,Treat none,0.0
5yr,0.23500000000000001,Baseline,0.002887064447256308
5yr,0.23500000000000001,Updated,0.012077934392032613
5yr,0.24000000000000002,Treat all,-0.1571575261314868
5yr,0.24000000000000002,Treat none,0.0
5yr,0.24000000000000002,Baseline,0.00286985598062189
5yr,0.24000000000000002,Updated,0.012111318817303384
5yr,0.245,Treat all,-0.16482082100652973
5yr,0.245,Treat none,0.0
5yr,0.245,Baseline,0.002352169462214551
5yr,0.245,Updated,0.012360484878200687
5yr,0.25,Treat all,-0.1725862931465733
5yr,0.25,Treat none,0.0
5yr,0.25,Baseline,0.0023345005836251462
5yr,0.25,Updated,0.012339503084875771
